id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
1123610782850342915,1123610782850342915,1556724660000,2019-05-01,10:31:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Python for Finance: Robo Advisor Edition by @kevinboller https://buff.ly/2GVyvV6 ,['kevinboller'],['https://buff.ly/2GVyvV6'],[],0,3,12,,[],https://twitter.com/TDataScience/status/1123610782850342915,,,0
1123610780430209024,1123610780430209024,1556724660000,2019-05-01,10:31:00,CDT,788898706586275840,tdatascience,Towards Data Science,,How Machine Learning Made Me Fall in Love with the WNBA  🏀 https://buff.ly/2vCBWtv ,,['https://buff.ly/2vCBWtv'],[],0,1,3,,[],https://twitter.com/TDataScience/status/1123610780430209024,,,0
1123566994442289153,1123566994442289153,1556714220000,2019-05-01,07:37:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Parallel and Distributed Deep Learning : A Survey https://buff.ly/2PBLPk9 ,,['https://buff.ly/2PBLPk9'],[],0,7,27,,[],https://twitter.com/TDataScience/status/1123566994442289153,,,0
1123525971796209665,1123525971796209665,1556704440000,2019-05-01,04:54:00,CDT,788898706586275840,tdatascience,Towards Data Science,,How to Design Powerful Scripts in Genetics https://buff.ly/2GiEKC6 ,,['https://buff.ly/2GiEKC6'],[],0,5,5,,[],https://twitter.com/TDataScience/status/1123525971796209665,,,0
1123394606429872128,1123394606429872128,1556673120000,2019-04-30,20:12:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Investigating the Machine Reading Comprehension Problem with Deep Learning https://buff.ly/2ULqDsU ,,['https://buff.ly/2ULqDsU'],[],0,4,13,,[],https://twitter.com/TDataScience/status/1123394606429872128,,,0
1123394605767188481,1123394605767188481,1556673120000,2019-04-30,20:12:00,CDT,788898706586275840,tdatascience,Towards Data Science,,How Do You Measure If Your Customer Churn Predictive Model Is Good? https://buff.ly/2vvbQIA ,,['https://buff.ly/2vvbQIA'],[],0,6,10,,[],https://twitter.com/TDataScience/status/1123394605767188481,,,0
1123323897821188096,1123323897821188096,1556656262000,2019-04-30,15:31:02,CDT,788898706586275840,tdatascience,Towards Data Science,,"Towards Robust and Verified AI: Specification Testing, Robust Training, and Formal Verification.  https://deepmind.com/blog/robust-and-verified-ai/ … 🖊by @DeepMindAI #MachineLearning #ArtificialIntelligence #TDSPick 🚀 pic.twitter.com/UmkGCKnvhD",['deepmindai'],['https://deepmind.com/blog/robust-and-verified-ai/'],"['https://pbs.twimg.com/media/D5bZIbXWAAE4B19.png', 'https://pbs.twimg.com/media/D5bZIabXoAA0UPA.png']",0,2,6,,"['#machinelearning', '#artificialintelligence', '#tdspick']",https://twitter.com/TDataScience/status/1123323897821188096,,,0
1123276833628332032,1123276833628332032,1556645041000,2019-04-30,12:24:01,CDT,788898706586275840,tdatascience,Towards Data Science,,"I Have a lot of Data, I just Don’t Know Where by @FavioVaz https://buff.ly/2PFiqWj ",['faviovaz'],['https://buff.ly/2PFiqWj'],[],0,4,11,,[],https://twitter.com/TDataScience/status/1123276833628332032,,,0
1123239084992991233,1123239084992991233,1556636041000,2019-04-30,09:54:01,CDT,788898706586275840,tdatascience,Towards Data Science,,Deep Learning on Ancient DNA 🧬 https://buff.ly/2PEvpaw ,,['https://buff.ly/2PEvpaw'],[],0,7,9,,[],https://twitter.com/TDataScience/status/1123239084992991233,,,0
1123204603363897351,1123204603363897351,1556627820000,2019-04-30,07:37:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Mapping messy addresses part 1: getting latitude and longitude by @ryanmark1867 https://buff.ly/2J3saZ9 ,['ryanmark1867'],['https://buff.ly/2J3saZ9'],[],0,4,10,,[],https://twitter.com/TDataScience/status/1123204603363897351,,,0
